acquisition_date;acquisition_type;acquired_company;acquired_company_domain;acquirer;acquisition_price_usd;is_key_acquisition;founded_year;company_details_overview;disclosed;industry;acquisition_year;matured;acquisition_price_usd_billions;acquired_company_size;city;state_province_region;country
2024-12-03;Business Acquisition;HPS Investment Partners;hpspartners.com;BlackRock;12000000000.0;True;2007;Investment management firm investing in public & private credit;1;Investment & Financial Services;2024;True;12.0;Large;New York City; New York; United States
2024-06-30;Business Acquisition;Preqin;preqin.com;BlackRock;3224245500.0;True;2003;Alternative investments data and insights for individuals and businesses;1;Investment & Financial Services;2024;True;3.22;Large;London; England; United Kingdom
2024-01-12;Business Acquisition;Global Infrastructure Partners;global-infra.com;BlackRock;12500000000.0;True;2007;Infrastructure and private equity investment focused on multiple sectors;1;Infrastructure Investment;2024;True;12.5;Large;New York City; New York; China
2023-07-14;Business Acquisition;Kahoot;kahoot.com;Goldman Sachs;1700000000.0;True;2012;Cloud-based gamified content management platform for schools and organizations;1;Education;2023;True;1.7;Large;Oslo; Oslo; Norway
2023-03-02;Business Acquisition;Pilot Flying J;pilotflyingj.com;Berkshire Hathaway;13600000000.0;True;1958;Chain of truck stops located across the US and Canada;1;Travel & Fuel Services;2023;True;13.6;Large;Knoxville; Tennessee; United States
2022-08-17;Business Acquisition;Akaysha Energy;akayshaenergy.com.au;BlackRock;700000000.0;True;2021;Developer of battery energy storage systems and renewable projects;1;Energy;2022;False;0.7;Large;Cremorne; New South Wales; Australia
2022-05-17;Business Acquisition;Markel Corporation;markel.com;Berkshire Hathaway;620000000.0;True;1930;Provider of insurance and reinsurance holding services;1;Insurance;2022;True;0.62;Large;Glen Allen; Virginia; United States
2022-03-20;Business Acquisition;Alleghany;alleghany.com;Berkshire Hathaway;11600000000.0;True;1929;Investment holdings company;1;Insurance;2022;True;11.6;Large;New York City; New York; United States
2021-09-15;Business Acquisition;GreenSky;greensky.com;Goldman Sachs;1700000000.0;True;2006;Lending as a service platform for consumer financing;1;Financial Services;2021;True;1.7;Large;Atlanta; Georgia; United States
2021-09-09;Business Acquisition;The Infatuation;theinfatuation.com;JPMorgan Chase;0.0;True;2009;App-based platform for restaurant reviews;1;Media & Entertainment;2021;True;0.0;Small;New York City; New York; United States
2021-08-19;Business Acquisition;NN Investment Partners;nnip.com;Goldman Sachs;1980000000.0;True;1994;Investment consulting firm;1;Investment & Financial Services;2021;True;1.98;Large;The Hague; South Holland; Netherlands
2021-07-21;Business Acquisition;Mercatus;gomercatus.com;State Street;88000000.0;True;2009;Asset management software solutions;1;Technology & Software;2021;True;0.09;Small;San Mateo; California; United States
2021-06-17;Business Acquisition;Nutmeg;nutmeg.com;JPMorgan Chase;700000000.0;True;2011;Personal finance planning and management platform;1;Technology & Software;2021;False;0.7;Large;London; England; United Kingdom
2020-11-23;Business Acquisition;Aperio;aperiogroup.com;BlackRock;1050000000.0;True;1999;Diversified investment and wealth management firm;1;Investment & Financial Services;2020;True;1.05;Large;Sausalito; California; United States
2020-10-06;Business Acquisition;Yongxin Energy;new-greenpower.com;BlackRock;237000000.0;True;2009;Provider of solar designing & consulting services;1;Energy;2020;True;0.24;Medium;Taipei; Taipei; Taiwan
2019-08-22;Business Acquisition;Cofense;cofense.com;BlackRock;400000000.0;True;2008;Provider of e-mail phishing detection solutions;1;Cybersecurity;2019;True;0.4;Medium;Leesburg; Virginia; United States
2019-07-01;Business Acquisition;DSD;dsdrenewables.com;BlackRock;1650000000.0;True;2012;Provider of solar panel installation and operation & maintenance services;1;Retail;2019;False;1.65;Large;Schenectady; New York; United States
2019-06-03;Business Acquisition;Capital Vision Services;capitalvisionservices.com;Goldman Sachs;2700000000.0;True;2001;Provider of eye wear needs and eye care services;1;Medical & Healthcare;2019;True;2.7;Large;Vienna; Virginia; United States
2019-05-17;Business Acquisition;InstaMed;instamed.com;JPMorgan Chase;500000000.0;True;2004;Healthcare bill payment solutions;1;Medical & Healthcare;2019;True;0.5;Large;Philadelphia; Pennsylvania; United States
2019-05-16;Business Acquisition;United Capital;unitedcp.com;Goldman Sachs;750000000.0;True;2005;Wealth counseling firm;1;Investment & Financial Services;2019;True;0.75;Large;Newport Beach; California; United States
2019-03-22;Business Acquisition;eFront;efront.com;BlackRock;1300000000.0;True;1999;Software for alternative investments and enterprise risk management;1;Technology & Software;2019;True;1.3;Large;New York City; New York; United States
2018-07-20;Business Acquisition;Charles River;crd.com;State Street;2600000000.0;True;1984;Cloud-based portfolio management solutions for wealth and investment managers;1;Medical & Healthcare;2018;True;2.6;Large;Burlington; Massachusetts; United States
2018-07-11;Business Acquisition;Boyd Corporation;boydcorp.com;Goldman Sachs;3000000000.0;True;1928;Manufacturer of HVAC products;1;Manufacturing;2018;True;3.0;Large;Modesto; California; United States
2018-04-24;Business Acquisition;CityFibre;cityfibre.com;Berkshire Hathaway;750000000.0;True;2011;Provider of fiber network infrastructure services;1;Telecommunications;2018;False;0.75;Large;London; England; United Kingdom
2018-03-08;Business Acquisition;Clarity Money;claritymoney.com;Goldman Sachs;100000000.0;True;2016;Personal finance management app;1;Technology & Software;2018;False;0.1;Medium;New York City; New York; United States
2018-02-26;Business Acquisition;Cofense;cofense.com;Berkshire Hathaway;400000000.0;True;2008;Provider of e-mail phishing detection solutions;1;Cybersecurity;2018;False;0.4;Medium;Leesburg; Virginia; United States
2017-10-17;Business Acquisition;WePay;wepay.com;JPMorgan Chase;400000000.0;True;2008;Flexible payments API for platforms;1;Financial Services;2017;False;0.4;Medium;Palo Alto; California; United States
2017-07-25;Business Acquisition;Cachematrix;cachematrix.com;BlackRock;0.0;True;2003;Liquidity and cash management software platform;1;Technology & Software;2017;True;0.0;Small;Denver; Colorado; United States
2017-05-21;Business Acquisition;Icon Cancer Care;iconcancercare.com.au;Berkshire Hathaway;745440000.0;True;1988;Network of cancer care hospitals;1;Medical & Healthcare;2017;True;0.75;Large;Brisbane; Queensland; Australia
2017-05-10;Business Acquisition;Dominion Enterprises;dominionenterprises.com;Berkshire Hathaway;226000000.0;True;1991;Provider of web hosting services;1;Media & Entertainment;2017;True;0.23;Medium;Norfolk; Virginia; United States
2016-08-18;Business Acquisition;ADT;adt.com;Berkshire Hathaway;141325000.0;True;1874;Provider of cloud-based surveillance products for home security;1;Security Services;2016;True;0.14;Medium;Boca Raton; Florida; United States
2016-07-18;Business Acquisition;Carver Korea;hydration.co.kr;Berkshire Hathaway;437000000.0;True;1999;Cosmetics company spanning skincare, make-up and fashion sectors;1;Cosmetics & Personal Care;2016;True;0.44;Medium;Seoul; Seoul; South Korea
2015-09-13;Business Acquisition;Solera;solera.com;Berkshire Hathaway;6500000000.0;True;2006;Insurance life cycle management solutions;1;Technology & Software;2015;False;6.5;Large;Dallas; Texas; United States
2015-08-26;Business Acquisition;FutureAdvisor;futureadvisor.com;BlackRock;150000000.0;True;2010;Investment management for solutions for families;1;Technology & Software;2015;False;0.15;Medium;San Francisco; California; United States
2015-08-10;Business Acquisition;PCC Energy Group;pccenergy.com;Berkshire Hathaway;37200000000.0;True;1953;Manufacturer of metal components and products;1;Energy;2015;True;37.2;Large;Houston; Texas; United States
2015-07-23;Business Acquisition;LeasePlan;leaseplan.com;Berkshire Hathaway;4041840000.0;True;1963;Online car leasing platform;1;Logistics & Fleet Management;2015;True;4.04;Large;Alpharetta; Georgia; United States
2015-02-20;Business Acquisition;Louis;louis.de;Berkshire Hathaway;453874000.0;True;1938;Provider of motorcycle clothing and technology;1;Retail;2015;True;0.45;Medium;Hamburg; Hamburg; Germany
2014-09-25;Business Acquisition;Neovia Logistics;neovialogistics.com;Berkshire Hathaway;1000000000.0;True;1987;Industrial contract logistics company;1;Logistics & Fleet Management;2014;True;1.0;Large;Irving; Texas; United States
2014-04-14;Business Acquisition;Ipreo;ipreo.com;Berkshire Hathaway;975000000.0;True;2006;Workflow solutions to capital markets and corporate professionals;1;Financial Services;2014;False;0.98;Large;New York City; New York; United States
